model,median_error_mm,mean_error_mm,p90_error_mm,rmse_mm,vs_baseline_%,horizon_frames,horizon_ms
LSTM (learned),0.012872977,0.01623238,0.03350428,0.021967825,63.39899,1,16.666666666666668
Constant velocity (baseline),0.0351711,0.04154474,0.07905786,0.052308045,0.0,1,16.666666666666668
Stopped (no movement),0.13775386,0.1516908,0.2648224,0.17536113,-291.66776,1,16.666666666666668
LSTM (learned),0.022884121,0.027704772,0.051980216,0.049494464,81.211945,3,50.0
Constant velocity (baseline),0.12180144,0.14267702,0.25730821,0.19771683,0.0,3,50.0
Stopped (no movement),0.38954973,0.4319687,0.72892004,0.50696725,-219.82358,3,50.0
LSTM (learned),0.08805427,0.1040452,0.19426195,0.14036763,65.03773,6,100.0
Constant velocity (baseline),0.25185508,0.28986958,0.5256776,0.37602273,0.0,6,100.0
Stopped (no movement),0.7484201,0.8375276,1.4284079,0.9510491,-197.16301,6,100.0
LSTM (learned),0.35837868,0.43768492,0.8419738,0.56321025,47.14155,15,250.0
Constant velocity (baseline),0.67799693,0.7929025,1.4629822,1.0257838,0.0,15,250.0
Stopped (no movement),1.9291251,2.1466923,3.5129323,2.3766582,-184.53302,15,250.0
LSTM (learned),0.8881817,1.1638829,2.3951116,1.5359901,42.56815,30,500.0
Constant velocity (baseline),1.5464966,1.8411607,3.4507394,2.3483262,0.0,30,500.0
Stopped (no movement),3.9468493,4.331065,6.8325925,4.732403,-155.21228,30,500.0
