k,silhouette,seconds
2,0.07377098274308536,159.2354142665863
3,0.0738934860022135,160.59670448303223
4,0.0571821874897055,173.5638608932495
5,0.0585794768692859,180.5222189426422
6,0.06962936104648083,193.25422286987305
7,0.07505962431332151,202.28124737739563
8,0.07178599988455864,205.57024598121643
9,0.06329990931537617,211.62294030189514
10,0.052837773259105845,217.62148714065552
11,0.05644166584483035,221.7014446258545
12,0.06351205907785644,225.94576811790466
13,0.0668983447485238,224.81824851036072
14,0.06780143139763893,232.43315863609314
15,0.06711230749873684,246.78967881202698
