fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
1,train,883.2750854492188,108,33.460872854110264,20.015046343416284,0.028530217016022465,0.15138414849346227,0.897196261682243
2,train,13.46679973602295,108,16.080293481808493,7.343360700946111,0.031030775548455805,0.18174288148250603,0.9532710280373832
3,train,1292.5458984375,108,30.59036351375822,14.40469834354097,0.03468431029667418,0.14026349810378672,0.9345794392523364
4,test,1160.2327880859375,108,21.578714971919428,8.611197363293726,0.031963278856060706,0.11182402712086748,0.9065420560747663
5,train,212.57359313964844,108,17.141120238441637,3.462032848509058,0.03560415656710211,0.17183748752466851,0.9252336448598131
6,train,869.5242919921875,108,21.02543928451336,19.76637969550665,0.025573381929420384,0.1410007476935646,0.9439252336448598
7,train,949.5499267578125,108,26.53914927151479,7.067013022450572,0.022929876782705465,0.12322731933913514,0.9439252336448598
8,train,1063.1962890625,108,29.997414441685073,6.192574211313443,0.031907266757830385,0.15768834101629506,0.9345794392523364
9,train,1221.16845703125,108,21.1528057804846,9.12292398272044,0.019509845821947834,0.11727189455437141,0.9626168224299065
10,test,595.8995971679688,108,32.789369079536925,16.852380495162137,0.026240025650134124,0.12777176264009676,0.9439252336448598
11,val,1349.6387939453125,108,22.83355583707357,16.099316850939864,0.022981867746727107,0.11844645728998657,0.9719626168224299
12,train,1189.2919921875,108,22.73132708833083,6.817460119398086,0.025760303864365248,0.12093344038514178,0.8878504672897196
13,train,1599.472900390625,108,15.601442681320576,3.6763950285538716,0.027581433798054087,0.17000534981316331,0.9719626168224299
14,train,1460.6270751953125,108,22.374716036341695,3.9001023479924704,0.022504266485474198,0.09481023978150722,0.9626168224299065
15,test,1426.43310546875,108,31.623123435631552,8.161766708136032,0.02658914339349421,0.161754399952579,0.9626168224299065
16,test,761.8897094726562,108,22.43141544160827,10.177470915285754,0.024939700865564338,0.10938514951490293,0.9345794392523364
17,test,1292.3055419921875,108,33.37261262992037,13.484327157243863,0.02504547096189139,0.1426201363726016,0.9626168224299065
18,val,1395.0986328125,108,29.845075865573314,10.794390011944621,0.03078900229291836,0.1654228207547375,0.9626168224299065
19,train,1578.5306396484375,108,28.427544193773038,4.868359128748844,0.030929602158844136,0.17280196768813458,0.9906542056074766
20,train,255.5417022705078,108,21.768082346585487,16.74374759153153,0.02938250080489743,0.13818552788612534,0.9626168224299065
21,train,1.0666999816894531,108,21.848163506336604,8.449946351192557,0.04175370607081212,0.2210067116146373,0.9626168224299065
22,train,229.92430114746094,108,13.769854150124,1.2052679122314214,0.025056332937641333,0.14200795768441443,0.9813084112149533
23,train,1155.3175048828125,108,23.304126302824724,18.0670788034831,0.029222264897985472,0.1432548683924,0.9813084112149533
24,test,1484.43505859375,108,19.858540338142802,7.68487334766812,0.027542097616257553,0.16663053205812983,0.9439252336448598
25,train,992.34619140625,108,28.650319457584466,3.559811880618608,0.027519239694682347,0.15982285231916782,0.9252336448598131
26,train,21.75029945373535,108,16.408742017343112,5.097780917504913,0.03661594211646458,0.18817319940268667,0.9532710280373832
27,train,1298.8223876953125,108,22.539445902098386,25.334265372922886,0.024606434597575482,0.13397050826102588,0.9439252336448598
28,train,699.4910278320312,108,21.383589408684088,5.336656030938613,0.023096608879778734,0.09753052986511697,0.9065420560747663
29,train,864.8759765625,108,22.269661146935174,12.686781590102237,0.020523985021320763,0.10481123216451967,0.9345794392523364
30,train,174.65570068359375,108,18.970936086905024,10.522446098336978,0.030459320610748245,0.19221066301661133,0.9626168224299065
31,train,887.7982788085938,108,27.429820601112496,12.02729040196375,0.027124102129468846,0.1343540550151801,0.9532710280373832
32,val,987.2020263671875,108,34.564053533946584,11.469556398475056,0.024356972576312804,0.124780082594362,0.9719626168224299
33,val,1256.927978515625,108,32.11536419062041,23.40442227036757,0.028062335116052845,0.1615043968695861,0.9065420560747663
34,train,826.4959106445312,108,19.75065109071545,2.887845431644031,0.023338823271536337,0.1449334207229094,0.9439252336448598
35,train,1370.399169921875,108,20.921217594082826,25.497128889641225,0.024081371851171172,0.11683055252389153,0.9532710280373832
36,train,977.5352172851562,108,27.25048442618612,14.488322972210385,0.03182656307968071,0.1681412454971069,0.9719626168224299
37,test,1441.9659423828125,108,33.960855998534676,8.932017986967537,0.02954109084478302,0.1443480894504991,0.9626168224299065
38,train,687.6580200195312,108,24.069974506445753,28.561014060262323,0.026360481503633265,0.15344117231954205,0.9626168224299065
39,train,1255.0789794921875,108,31.923074781545896,16.760098403525728,0.024862623295825396,0.11963165779379717,0.9532710280373832
40,train,1106.6070556640625,108,25.228179022924532,4.742426236721088,0.026185903424677606,0.16760528693131052,0.9719626168224299
41,test,1125.85791015625,108,30.260778088758123,5.040408031655409,0.028887705041751394,0.13822115689726686,0.9345794392523364
42,train,83.6854019165039,108,20.923658572377523,8.430538026494839,0.028956220071151107,0.15369661916930166,0.9532710280373832
43,train,1342.9654541015625,108,32.32521671599464,19.366804340238286,0.0296096262875642,0.13535054681379746,0.9345794392523364
44,train,1110.5570068359375,108,27.385873186637113,6.960936959294057,0.023615912544588016,0.12999420166911171,0.9626168224299065
45,train,474.56689453125,108,18.103031925889415,7.8734703810757125,0.026951965335033697,0.13365264623987644,0.9532710280373832
46,train,917.283203125,108,21.379295257785575,7.0436846397622865,0.028214659448015614,0.15027479241894537,0.9439252336448598
47,val,1176.8580322265625,108,31.26947608190082,21.046951663212205,0.026444963013226176,0.1428423256368212,0.9719626168224299
48,test,925.7963256835938,108,33.70079086903062,21.433830159186087,0.02765380114573169,0.13845349301127752,0.9813084112149533
49,train,1001.3015747070312,108,20.307558180863477,6.978113534829543,0.02294459627164213,0.14584285967636876,0.9719626168224299
50,train,141.37060546875,108,15.589633415436799,7.709544319667806,0.02620802116015641,0.16625247693750123,0.9906542056074766
51,train,917.815185546875,108,17.194676436582956,14.992603843195152,0.02795808137761994,0.1349412570632617,0.9813084112149533
52,train,1763.2110595703125,108,34.79169883268732,16.293153054862053,0.03216363993162804,0.13153958152753178,0.9252336448598131
53,val,1526.169921875,108,16.40220104141233,3.7724844600235556,0.024187683618369274,0.1394711147357412,0.9532710280373832
54,test,724.0750122070312,108,24.757272982460325,4.4111644714619,0.025488925567605725,0.13824976856001706,0.9158878504672897
55,test,734.3052978515625,108,9.082144022967968,8.203156673053245,0.024326041502310523,0.13906482497191128,1.0
56,train,1765.845458984375,108,17.666573138402033,12.682173278621608,0.03349961645055907,0.15207709135993108,0.9065420560747663
57,train,696.6209716796875,108,18.12319672813195,9.909592907384996,0.02077162844038922,0.11621237006877212,0.9439252336448598
58,val,1311.5457763671875,108,19.84190046419937,5.157876947995405,0.029948957945240155,0.12925397514040995,0.897196261682243
59,test,1279.9058837890625,108,20.52767538767166,4.120686417221432,0.024500467742704583,0.11880355936321554,0.9626168224299065
60,test,1269.0555419921875,108,16.013911931161953,4.434190143471938,0.021724410924166774,0.10090261210808253,0.9626168224299065
61,val,887.980224609375,108,15.974267356951811,8.157318905281361,0.02559888511856168,0.15425456385899894,0.9626168224299065
62,train,1620.4735107421875,108,21.88933521937087,9.13578861408814,0.0334404514752414,0.15417050223867418,0.9719626168224299
63,val,872.2271728515625,108,13.92200931473765,4.329575655660569,0.031151724277315593,0.15697845684435138,0.9532710280373832
64,train,1705.20947265625,108,17.11811208770627,15.035842804579772,0.02590825511556385,0.1521965715859394,0.9719626168224299
65,train,204.35679626464844,108,12.877444271177989,6.900731995419864,0.02506847915924289,0.1223289611177647,0.9439252336448598
66,train,1521.0035400390625,108,23.186549891411218,9.604470773588575,0.0325984492616708,0.1570818456067721,0.9345794392523364
67,train,528.1497192382812,108,16.000277986093007,5.324461723044605,0.027177275382713667,0.14581194523366023,0.9439252336448598
68,test,97.21929931640625,108,15.05941758980347,13.506674983158643,0.030599104561909486,0.20341247944449461,0.9813084112149533
69,train,1191.492431640625,108,22.17031131159568,12.316423475045696,0.02498887939928122,0.11739108352287571,0.9532710280373832
70,train,1290.495849609375,108,22.64117788412008,18.729467417414785,0.031190667783885753,0.13096712375329633,0.9626168224299065
71,train,1385.7783203125,108,20.22351660463404,2.031709048641293,0.02807927959960481,0.13014152852743988,0.9345794392523364
72,train,751.6765747070312,108,24.367408976568345,17.260408004658025,0.024837131140833163,0.1413548891809383,0.9626168224299065
73,train,1165.6544189453125,108,29.20266067694276,13.613334440923479,0.021452324438823354,0.13237824361418535,0.9626168224299065
74,test,1625.7030029296875,108,20.02435622604031,1.8164306626188793,0.020663813232323604,0.11530433966853307,0.9439252336448598
75,train,1038.003662109375,108,15.201008697713899,5.1032601438803,0.027339802032158873,0.12406402438299652,0.9813084112149533
76,val,1348.27685546875,108,23.0997800192437,10.701137347191624,0.026319564977934164,0.12901334807659073,0.9532710280373832
77,test,1717.1611328125,108,20.199785046291808,4.163450631642168,0.031186302431737745,0.1405209450882933,0.9252336448598131
78,train,1049.3538818359375,108,24.61973547450393,10.372118283542529,0.026237511420066573,0.13070316587177233,0.9532710280373832
79,test,1499.8656005859375,108,19.783414246787714,9.254151514747814,0.023429071018984036,0.09552175386308467,0.897196261682243
80,train,1341.080810546875,108,21.734673972514862,17.2339796986331,0.027408195166695043,0.12517160169418484,0.9532710280373832
81,train,950.0307006835938,108,24.229205585247307,11.566344261785414,0.023334107643424237,0.10857873569934895,0.9158878504672897
82,test,1666.65380859375,108,21.44598179489371,16.228306664879312,0.025744276928921717,0.13025080315244988,0.9813084112149533
83,train,1717.84423828125,108,25.61904362794841,4.881050397792066,0.026457869122312704,0.11881871398276919,0.9439252336448598
84,train,793.561279296875,108,23.492595946314044,2.5419411855061664,0.021261777403547566,0.11421217240320333,0.9626168224299065
